Alberich's Pointed Hat;1.8;1.4;1.8;1.8;4.6;4.2;4.4;4.6;16;10;29;31;0;1.7
Albinauric Mask;4;3.1;4;3.8;2.5;3.1;2.1;2.5;12;23;10;10;3;3.8
All-Knowing Helm;4.6;4.2;4.8;4.2;4.4;3.4;3.6;3.1;12;20;9;9;5;4.6
Aristocrat Hat;3.1;3.1;2.8;3.1;3.8;4;3.8;3.1;22;14;18;20;1;3
Aristocrat Headband;1.9;1.9;1.9;1.6;4;3.6;3.8;4;15;10;25;22;0;1.2
Astrologer Hood;1.8;1.4;1.4;1.4;4.6;4.5;4.6;4.5;18;9;31;27;1;1.7
Ash-of-War Scarab;-5.8;-5.6;-5.8;-5.8;-4.9;-4.9;-4.9;-5.1;42;22;27;26;2;5.1
Azur's Glintstone Crown;2.8;2.3;2.5;2.5;5.8;4.6;4.7;5.0;23;14;44;39;2;3.6
Bandit Mask;2.8;3.1;3.1;3.1;3.1;3.4;3.6;3.1;33;16;16;18;0;3
Banished Knight Helm;6.8;5.4;7;6.3;4.8;4.8;4.6;4.7;26;35;16;18;9;7.5
Beast Champion Helm;6.3;5.9;6.8;6.7;4.6;4.9;4.6;4.8;24;39;18;16;9;7.5
Black Knife Hood;3.8;3.6;4.2;4.2;2.8;3.1;2.1;3.8;11;18;9;9;4;3.8
Blackflame Monk Hood;4.4;3.4;4.6;4.2;2.8;4.4;2.1;2.8;11;20;5;11;5;4.0
Bloodhound Knight Helm;4.4;4;5;4.8;3.4;3.6;2.5;3.6;14;22;10;10;4;4.6
Bloodsoaked Mask;1.8;1.8;1.8;2.1;4.6;4.4;4.5;4.6;20;12;33;35;1;2.2
Blue Cloth Cowl;2.8;2.8;2.3;2.3;3.1;3.4;3.8;.28;24;15;18;18;1;2.7
Briar Helm;4.6;4;4.8;4.4;3.8;4.4;3.1;3.8;15;31;10;10;5;5.1
Bull-Goat Helm;7.5;7.4;6.7;6.7;4.7;4.8;5.3;4.6;31;35;20;23;15;11.3
Carian Knight Helm;4.2;3.8;4.4;4.2;4.4;4.2;2.4;4.2;12;20;9;10;4;4.6
Chain Coif;4.2;3.1;4.6;4.2;2.5;3.8;2.1;2.8;11;18;5;8;4;3.8
Cleanrot Helm;5.2;4.8;5.8;6.3;4.5;4.6;4;4.8;27;29;12;14;7;6.4
Champion Headband;2.3;3.1;2.5;2.8;2.8;3.4;3.6;3.4;22;14;18;16;2;2.7
Commoner's Headband;0.9;1.9;1.8;1.4;4.4;4;4.2;4.4;15;10;27;29;0;1.4
Confessor Hood;2.8;3.6;2.8;3.1;3.8;3.8;4.2;3.4;26;20;20;22;2;3.3
Crimson Hood;1.4;1.8;1.4;1.8;4.6;4.6;4.5;4.6;16;9;27;29;0;1.7
Crucible Axe Helm;6.3;5;6.1;6.1;4.6;4.6;4;4.8;22;31;15;15;9;6.6
Crucible Tree Helm;6.5;5;6.3;5.6;4.6;4.2;4;5.2;22;31;15;15;9;6.6
Eccentric's Hood;4.4;3.4;4.2;4.4;3.4;3.6;2.3;3.1;14;24;9;8;4;4.0
Elden Lord Crown;3.8;3.4;3.6;4;2.5;3.6;2.1;2.3;11;20;0;5;3;3.6
Exile Hood;4.4;3.4;4.6;4.4;2.8;3.8;2.3;3.4;12;23;9;8;4;4
Fia's Hood;1.4;1.8;1.4;1.4;4.4;4.2;4.4;4.6;18;8;29;45;0;1.7
Fingerprint Helm;4.8;4.2;4.2;4.2;3.4;4.5;2.3;3.4;14;26;5;10;6;4.6
Finger Maiden Fillet;2.1;1.8;1.8;1.4;4.8;4.6;4.6;4.8;18;10;31;31;1;2.2
Fire Monk Hood;4.6;3.8;4.2;4;3.1;4.5;2.5;2.5;11;20;9;9;4;4
Foot Soldier Cap;3.4;3.6;3.4;3.4;3.8;4;4.2;3.8;27;18;23;23;2;3.6
Foot Soldier Helmet;3.4;3.4;3.6;3.6;4;4;4;3.6;27;18;23;23;2;3.6
Gelmir Knight Helm;4.8;4;5;4.8;3.8;4.4;3.6;3.8;15;23;10;10;6;5.1
Godrick Knight Helm;4.8;4.2;5;4.6;3.8;4.3;3.4;3.8;15;24;10;10;6;5.1
Godrick Soldier Helm;4.4;3.6;4.4;4.2;3.1;3.6;2.5;3.1;12;22;9;9;5;4.0
Godskin Apostle Hood;2.3;2.1;2.1;1.4;4.6;4.4;4.5;5.0;20;10;33;31;1;2.2
Greathelm;5.5;4.2;5.8;5.2;4.2;4.6;3.8;4.2;16;29;11;11;7;5.9
Great Horned Headband;2.8;3.1;2.8;2.8;3.1;3.4;3.8;3.4;33;23;27;22;1;3.3
Guilty Hood;0.9;1.4;1.8;0.2;4.4;4;4.5;4.6;15;9;27;31;0;1.4
Haligtree Helm;4.4;3.8;4.2;4.4;2.8;3.4;2.5;3.4;12;22;9;10;4;4
Hierodas Glintstone Crown;2.3;2.3;2.8;2.3;4.9;4.7;4.6;4.9;20;11;39;42;2;3
Highwayman Hood;2.8;3.6;2.8;3.1;3.8;3.8;4;3.6;24;15;22;22;2;3.3
Hoslow's Helm;5.2;4.4;5;4.8;4;4.4;3.8;3.8;18;27;11;11;6;5.5
