All-Knowing Greaves;7.4;6.8;7.7;6.8;7.1;5.4;5.8;5.4;17;29;13;13;10;6.6
Alberich's Trousers;3;2.3;3;3;7.3;6.8;7.2;7.3;26;14;41;44;1;2.5
Astrologer Trousers;3.8;3.4;3.4;3.4;7.7;7.4;7.6;7.4;31;15;56;47;3;3.9
Bandit Boots;4.0;4.5;5.0;5.4;5.4;5.4;5.8;5.0;34;20;35;35;2;4.4
Banished Knight Greaves;10.8;8.6;11.1;10.1;7.7;7.7;7.4;7.6;37;51;24;26;17;10.8
Beast Champion Greaves;10.1;9.4;10.8;10.6;7.4;7.9;7.3;7.7;35;56;26;24;17;10.8
Black Knife Greaves;6.5;6.2;7.1;7.1;5;5.4;3.8;6.5;17;29;14;14;8;5.7
Blackflame Monk Greaves;7.7;6.5;8.4;7.4;5.8;7.4;4.5;5.8;20;34;13;20;11;7.3
Bloodhound Knight Greaves;7.1;6.5;8.0;7.7;5.4;5.8;4.0;5.8;20;31;14;14;8;6.6
Briar Greaves;7.4;6.5;7.7;7.2;6.2;7.1;7.1;6.2;22;44;15;15;9;7.3
Bull-Goat Greaves;11.9;11.8;10.6;10.6;7.6;7.7;8.5;7.3;44;51;29;34;28;16.4
Champion Gaiters;3.8;5;4;4.5;4.5;5.4;5.8;5.4;31;20;26;24;3;3.9
Carian Knight Greaves;6.8;6.2;7.1;6.8;7.1;6.8;5.4;6.8;17;29;13;14;7;6.6
Chain Leggings;6.8;5;7.4;6.8;4;6.2;3.4;4.5;16;26;7;11;7;5.5
Cleanrot Greaves;8.4;7.6;9.2;10.1;7.2;7.3;6.5;7.7;39;41;17;20;13;9.3
Cloth Trousers;3;2.3;1.5;2.3;7.3;7.1;6.8;7.1;26;14;37;37;1;2
Commoner's Shoes;1.5;3;3;2.3;7.1;6.5;6.8;7.1;22;14;39;41;1;2
Confessor Boots;4.5;5.8;4.5;5;6.2;6.2;6.8;5.4;37;29;29;31;3;4.8
Consort's Trousers;3.0;2.3;2.3;3.0;7.4;7.1;7.1;7.3;29;15;41;39;1;2.5
Crucible Greaves;10.1;8;9.6;9.6;7.4;7.3;6.5;7.7;31;44;22;16;14;9.6
Eccentric's Breeches;6.5;4.5;6.2;6.5;4.5;5.0;3.0;4.0;15;31;7;7;6;5.1
Elden Lord Greaves;6.5;5.8;6.2;6.8;4.5;6.2;3.8;4;16;31;7;11;7;5.5
Errant Sorcerer Boots;3;3;3.8;3;7.6;7.3;7.2;7.6;24;15;47;51;1;3.1
